X;name.for.phylo;Family;Genus;Translation;Symbol
121;Acer_floridanum;Aceraceae;Acer;Acer;ACFL
122;Acacia_floribunda;Fabaceae;Acacia;Fabaceae.undiff;ACFL6
123;Acer_×freemanii;Aceraceae;Acer;Acer;ACFR
124;Acacia_genistifolia;Fabaceae;Acacia;Fabaceae.undiff;ACGE8
125;Acer_ginnala;Aceraceae;Acer;Acer;ACGI
126;Acer_glabrum;Aceraceae;Acer;Acer;ACGL
127;Acacia_gladiiformis;Fabaceae;Acacia;Fabaceae.undiff;ACGL5
128;Acacia_glandulicarpa;Fabaceae;Acacia;Fabaceae.undiff;ACGL6
129;Acaciella_glauca;Fabaceae;Acaciella;Fabaceae.undiff;ACGL7
130;Acer_glabrum;Aceraceae;Acer;Acer;ACGLD3
131;Acer_glabrum;Aceraceae;Acer;Acer;ACGLD4
132;Acer_glabrum;Aceraceae;Acer;Acer;ACGLG
133;Acer_glabrum;Aceraceae;Acer;Acer;ACGLG2
134;Acer_glabrum;Aceraceae;Acer;Acer;ACGLN2
135;Acer_glabrum;Aceraceae;Acer;Acer;ACGLT2
136;Acer_griseum;Aceraceae;Acer;Acer;ACGR14
137;Acalypha_gracilens;Euphorbiaceae;Acalypha;Euphorbiaceae;ACGR2
138;Acer_grandidentatum;Aceraceae;Acer;Acer;ACGR3
139;Acacia_gracilifolia;Fabaceae;Acacia;Fabaceae.undiff;ACGR9
140;Acer_grandidentatum;Aceraceae;Acer;Acer;ACGRG
141;Acer_grandidentatum;Aceraceae;Acer;Acer;ACGRS
142;Acacia_hakeoides;Fabaceae;Acacia;Fabaceae.undiff;ACHA4
143;Acacia_hemiteles;Fabaceae;Acacia;Fabaceae.undiff;ACHE12
144;Acalypha_hispida;Euphorbiaceae;Acalypha;Euphorbiaceae;ACHI2
145;Acacia_holosericea;Fabaceae;Acacia;Fabaceae.undiff;ACHO2
146;Acacia_howittii;Fabaceae;Acacia;Fabaceae.undiff;ACHO5
147;Acacia_imbricata;Fabaceae;Acacia;Fabaceae.undiff;ACIM4
148;Acacia_implexa;Fabaceae;Acacia;Fabaceae.undiff;ACIM5
149;Acalypha_indica;Euphorbiaceae;Acalypha;Euphorbiaceae;ACIN12
150;Acacia_irrorata;Fabaceae;Acacia;Fabaceae.undiff;ACIR
151;Acacia_iteaphylla;Fabaceae;Acacia;Fabaceae.undiff;ACIT2
152;Acacia_ixiophylla;Fabaceae;Acacia;Fabaceae.undiff;ACIX2
153;Acer_japonicum;Aceraceae;Acer;Acer;ACJA2
154;Acacia_jibberdingensis;Fabaceae;Acacia;Fabaceae.undiff;ACJI
155;Acacia_jonesii;Fabaceae;Acacia;Fabaceae.undiff;ACJO2
156;Acacia_koa;Fabaceae;Acacia;Fabaceae.undiff;ACKO
157;Acacia_koaia;Fabaceae;Acacia;Fabaceae.undiff;ACKO2
158;Acacia_lanuginophylla;Fabaceae;Acacia;Fabaceae.undiff;ACLA10
159;Acacia_lasiocalyx;Fabaceae;Acacia;Fabaceae.undiff;ACLA6
160;Acalypha_lanceolata;Euphorbiaceae;Acalypha;Euphorbiaceae;ACLA9
161;Acer_leucoderme;Aceraceae;Acer;Acer;ACLE
162;Acaciella_leucothrix;Fabaceae;Acaciella;Fabaceae.undiff;ACLE10
163;Acer_leucoderme;Aceraceae;Acer;Acer;ACLE2
164;Acacia_leiophylla;Fabaceae;Acacia;Fabaceae.undiff;ACLE7
165;Acacia_lineata;Fabaceae;Acacia;Fabaceae.undiff;ACLI5
166;Acacia_ligulata;Fabaceae;Acacia;Fabaceae.undiff;ACLI8
167;Acacia_longifolia;Fabaceae;Acacia;Fabaceae.undiff;ACLO
168;Acacia_longissima;Fabaceae;Acacia;Fabaceae.undiff;ACLO8
169;Acacia_longifolia;Fabaceae;Acacia;Fabaceae.undiff;ACLOS3
170;Acacia_maidenii;Fabaceae;Acacia;Fabaceae.undiff;ACMA11
171;Acacia_mangium;Fabaceae;Acacia;Fabaceae.undiff;ACMA12
172;Acer_macrophyllum;Aceraceae;Acer;Acer;ACMA3
173;Acacia_melanoxylon;Fabaceae;Acacia;Fabaceae.undiff;ACME
174;Acrocomia_media;Arecaceae;Acrocomia;Arecaceae;ACME2
175;Acacia_merrallii;Fabaceae;Acacia;Fabaceae.undiff;ACME6
176;Acalypha_mexicana;Euphorbiaceae;Acalypha;Euphorbiaceae;ACME7
177;Acacia_mearnsii;Fabaceae;Acacia;Fabaceae.undiff;ACME80
178;Acacia_microbotrya;Fabaceae;Acacia;Fabaceae.undiff;ACMI5
179;Acacia_microcarpa;Fabaceae;Acacia;Fabaceae.undiff;ACMI6
